Date,Total_Confirmed_Cases,Total_Fatalities,Total_Recovered_Cases,New_Confirmed_Cases,New_Fatalities,New_Recovered_Cases,Remaining_Confirmed_Cases
737728,4217,25,1882,166,0,0,2310
737728,323673,3078,137575,13605,216,8947,183020
737728,45736,719,34548,1191,3,452,10469
737728,712,13,659,0,0,0,40
737728,5559,61,5437,1,0,6,61
737728,42,0,29,4,0,0,13
737728,126332,2236,104486,419,2,542,19610
737728,167147,12632,141759,845,10,0,12756
737728,107376,6258,99353,167,11,80,1765
737728,33445,971,29186,0,4,0,3288
737728,5083,83,4964,0,0,0,36
737728,463,0,412,2,0,7,51
737728,4771,73,3747,100,0,63,951
737728,5909,117,5557,10,0,15,235
737728,95789,1464,51713,488,7,960,42612
737728,34,2,31,0,0,0,1
737728,15910,358,11300,344,4,0,4252
737728,1379294,36605,122224,49474,547,1501,1220465
737728,8968,55,8698,11,0,79,215
737728,3670,119,2876,4,0,210,675
737728,37263,285,19810,1696,12,2906,17168
737728,517736,10391,351921,19382,86,11485,155424
737728,48055,320,47169,0,0,0,566
737728,37196,620,23074,1686,5,0,13502
737728,28,0,24,0,0,0,4
737728,107339,3714,96752,549,10,565,6873
737728,12072,72,10550,52,1,0,1450
737728,2403,41,1818,0,0,0,544
737728,4143,124,3192,45,1,38,827
737728,9057,232,7429,0,0,0,1396
737728,27,0,15,0,0,0,12
737728,96888,2669,40129,738,8,325,54090
737728,71413,1699,17953,3286,65,484,51761
737728,4797,12,3788,78,0,87,997
737728,8137119,121641,7432829,48268,551,59454,582649
737728,406945,13782,334295,2897,81,4517,58868
737728,604952,34478,477300,8011,365,4702,93174
737728,470633,10862,397241,2878,47,2855,62530
737728,61059,1908,23364,762,6,0,35787
737728,314121,2536,299067,680,11,1080,12518
737728,647674,38321,283567,31079,199,4285,325786
737728,9005,205,4442,78,3,13,4358
737728,100450,1756,91184,776,8,560,7510
737728,69306,772,7600,3921,32,92,60934
737728,149066,2224,134997,587,2,151,11845
737728,53797,981,35876,1185,17,272,16940
737728,26511,464,24311,126,1,84,1736
737728,19328,678,15429,702,5,139,3221
737728,125337,773,116202,671,6,727,8362
737728,58394,1142,49522,596,3,425,7730
737728,24,0,22,0,0,0,2
737728,5679,69,1406,284,5,0,4204
737728,79529,625,40352,1751,15,1229,38552
737728,1953,44,975,6,1,0,934
737728,1426,82,1279,0,0,0,65
737728,60628,847,34369,972,16,819,25412
737728,513,2,347,37,1,82,164
737728,13823,157,4691,735,7,109,8975
737728,17134,152,10081,778,2,216,6901
737728,9,2,0,0,0,0,7
737728,16968,244,16301,0,0,0,423
737728,5923,184,5323,7,0,20,416
737728,30889,249,20248,799,3,491,10392
737728,11643,37,10779,27,0,46,827
737728,3545,136,2746,8,0,60,663
737728,5942,61,3990,76,2,110,1891
737728,2,0,0,0,0,0,2
